"R0000100","R0000500","R0000300","R0000400","R0410300","R0410100","R0410200","R0000900","R0001000","R0219114","R0006200","R0006300","R0007400","R0007500"
7840,1961,5,1,1957,1,-5,267,63,12,14,24,22,33
7841,1961,6,-3,1960,10,24,596,20,-3,14,-3,14,39
7842,1964,10,26,1959,7,-5,601,60,33,35,5,18,-4
7843,1964,7,19,1963,10,26,2,-2,8,-3,21,21,44
7844,1962,12,24,1959,10,1,-2,55,-3,65,-3,14,-3
7845,1963,6,6,1960,12,21,87,76,38,-1,48,70,18
7846,1958,3,16,1960,3,2,52,78,37,40,32,-2,-3
7847,1959,2,20,1957,5,6,814,60,13,72,41,-3,38
7848,1962,6,25,1959,10,-5,421,15,43,46,41,38,20
7849,1960,8,9,1964,8,20,531,51,43,42,42,68,16
7850,1963,5,-2,1960,9,25,-1,19,33,44,47,35,44
7851,1964,2,12,1959,5,31,797,59,30,52,19,16,-2
7852,1960,6,4,1958,-5,30,685,-3,35,34,44,6,41
7853,1963,1,7,1963,11,-5,118,-2,3,51,1,30,33
7854,1957,5,13,1959,2,-5,-4,41,-3,75,-2,69,-3
7855,1958,6,26,1960,8,2,673,43,8,65,33,79,10
7856,1963,8,30,1963,-5,25,-1,-2,15,47,32,2,30
7857,1960,11,12,1962,2,2,243,54,-4,57,-3,14,22
7858,1961,1,-2,1960,7,25,402,46,43,24,25,-4,11
7859,1962,3,22,1958,9,18,-3,59,50,42,43,47,43
7860,1964,2,8,1963,1,2,5,51,-3,61,-3,75,-4
7861,1959,8,22,-5,-5,9,348,65,26,-3,32,64,24
7862,1964,8,-2,1962,10,27,618,11,8,25,42,68,20
7863,1960,12,31,1958,2,10,523,68,6,-4,31,26,29
7864,1963,3,31,1961,-5,22,-4,46,2,-2,25,38,13
7865,1960,5,30,1964,1,-5,-3,-3,6,6,4,-3,47
7866,1962,12,26,1959,3,-5,635,-3,11,41,15,68,2
7867,1964,6,1,1959,4,-5,479,37,44,-4,-2,56,16
7868,1962,4,8,1961,9,12,266,69,34,-2,11,63,42
7869,1963,7,31,-5,8,31,588,33,15,50,-2,48,42
7870,1961,9,29,-5,12,6,442,24,45,-4,21,-2,17
7871,1963,10,27,1964,4,24,613,6,-4,3,-3,26,-4
7872,1963,9,-2,1962,-5,-5,691,36,3,73,50,-2,-3
7873,1958,5,22,1958,9,27,-3,31,13,74,39,-2,-3
7874,1957,1,11,1963,-5,-5,162,67,49,8,8,62,30
7875,1963,6,16,-5,11,-5,720,67,19,75,45,53,49
7876,1961,8,-2,1961,4,16,733,18,-4,-3,40,62,48
7877,1958,3,31,-5,8,5,206,-3,30,62,24,22,38
7878,1964,12,9,1964,8,-5,-3,46,41,48,34,22,3
7879,1962,9,3,1963,11,21,-4,-1,1,78,-3,28,50
7880,1964,7,17,1962,-5,28,823,30,8,-4,22,21,41
7881,1958,6,15,1957,9,18,450,37,-4,76,9,40,-2
7882,1963,8,2,1957,5,9,634,9,3,9,25,66,14
7883,1957,1,29,1962,3,31,333,19,22,53,38,2,16
7884,1960,8,21,1964,1,21,268,62,8,-2,31,49,-3
7885,1958,6,-2,-5,-5,6,545,42,33,15,41,60,38
7886,1960,7,-2,1960,6,4,704,19,48,-4,1,47,26
7887,1957,6,25,1964,6,22,485,47,-3,-2,15,65,-2
7888,1961,7,-3,1958,-5,24,-3,29,43,4,46,75,45
7889,1958,3,28,1959,5,20,547,43,44,59,37,61,23
7890,1957,5,12,1962,9,-5,463,4,14,40,30,66,1
7891,1960,1,16,1959,4,-5,441,43,14,-3,34,-4,40
7892,1961,9,7,1961,3,7,623,78,-4,37,26,-4,-3
7893,1957,10,2,1958,10,25,616,18,16,27,45,14,-3
7894,1964,8,-3,-5,10,24,507,13,-4,73,31,18,50
7895,1959,2,11,1960,7,4,44,14,-4,23,-4,-3,25
7896,1962,7,5,-5,-5,14,-2,19,12,72,50,49,26
7897,1963,5,30,1963,8,2,414,-1,22,36,36,-2,41
7898,1963,6,24,1963,10,20,-3,79,1,18,-2,78,1
7899,1959,8,3,1960,9,30,-4,78,16,72,10,-3,50
7900,1960,3,27,1960,11,27,628,26,34,-3,35,49,9
7901,1960,9,28,1959,8,17,733,42,42,35,37,78,-4
7902,1960,10,13,1958,1,19,532,56,31,-3,-3,41,31
7903,1962,1,20,1958,5,-5,270,-1,40,2,-4,61,27
7904,1961,5,-3,1957,12,18,495,48,41,-4,34,-2,41
7905,1961,12,-3,1960,2,-5,84,45,-3,51,23,67,27
7906,1959,4,12,1957,10,31,146,8,9,72,6,64,49
7907,1961,8,5,-5,3,8,-4,77,43,68,6,46,37
7908,1964,9,6,-5,4,-5,-3,-4,50,51,-2,65,20
7909,1957,3,4,-5,3,-5,635,73,19,-3,-2,39,11
7910,1964,2,-2,1957,10,28,547,74,30,43,33,47,-4
7911,1957,9,30,1964,10,15,807,-3,8,45,-3,63,-2
7912,1957,2,15,1964,10,5,383,-4,33,66,20,43,30
7913,1961,9,25,1964,-5,18,823,78,42,73,42,48,20
7914,1962,1,8,1962,8,2,813,19,13,-1,44,3,-4
7915,1963,4,11,1964,8,27,683,25,18,11,6,55,-3
7916,1958,2,17,1962,11,15,43,69,-3,78,-3,3,-3
7917,1964,10,15,1960,5,8,163,28,31,27,-2,65,34
7918,1963,7,-2,1961,-5,8,153,77,22,46,-3,69,43
7919,1962,8,16,1961,5,11,506,71,-3,16,46,-3,40
7920,1961,11,27,1963,3,26,-3,53,11,-2,-3,18,-2
7921,1957,5,3,1960,7,11,378,1,25,4,1,-3,-3
7922,1957,7,-3,1957,-5,24,454,42,-3,13,9,63,17
7923,1960,7,9,1963,4,13,34,55,12,63,43,75,-3
7924,1962,6,2,1964,10,18,519,52,29,-2,2,66,-4
7925,1964,2,22,1962,6,21,275,-4,50,71,3,8,43
7926,1963,9,7,1959,4,26,-1,31,31,8,47,-3,13
7927,1961,8,8,-5,10,22,43,29,19,40,45,40,31
7928,1959,12,-3,1961,-5,2,191,42,-4,43,2,-2,15
7929,1963,12,26,-5,2,-5,-1,35,22,-3,17,57,-2
7930,1960,11,-2,1961,3,-5,244,11,-3,79,21,43,49
7931,1961,7,6,-5,4,8,-3,47,32,15,13,17,50
7932,1959,12,16,-5,5,28,11,73,34,71,-3,4,12
7933,1958,1,25,1964,12,4,387,-4,9,67,50,46,31
7934,1964,8,29,1961,10,-5,806,15,41,61,-3,40,21
7935,1957,6,10,1960,5,10,743,33,-3,4,20,-2,15
7936,1963,11,-3,1959,-5,-5,771,-4,-4,-2,47,76,8
7937,1964,2,8,-5,7,15,-4,60,26,29,17,-3,21
7938,1963,4,17,-5,1,-5,720,-2,-3,76,-4,60,42
7939,1957,9,-2,1958,5,31,-1,20,4,71,40,-2,49
7940,1961,9,18,1962,-5,6,-1,-1,-3,-4,3,19,4
7941,1961,4,-2,1960,10,2,-2,26,10,51,3,48,11
7942,1964,3,-2,1960,1,30,64,-2,34,76,16,54,25
7943,1960,1,21,1964,-5,7,501,71,-3,41,33,52,38
7944,1960,3,28,1964,6,3,548,36,18,15,25,32,17
7945,1959,2,25,1959,6,9,117,26,35,20,32,59,28
7946,1957,6,14,1961,11,-5,332,-2,16,37,-4,5,-3
7947,1960,8,28,1959,10,6,158,39,50,15,32,4,24
7948,1961,9,7,1959,5,-5,600,12,13,33,39,76,41
7949,1959,11,8,1963,6,17,837,-4,41,52,29,66,-3
7950,1957,12,22,1959,-5,23,505,31,13,20,5,68,13
7951,1964,12,25,1961,5,3,669,16,-4,49,16,-4,23
7952,1963,5,-2,1960,-5,22,-2,75,1,47,37,79,-2
7953,1963,10,4,1958,8,9,612,53,3,-1,46,21,24
7954,1960,11,1,1961,-5,-5,-1,16,21,35,1,17,-3
7955,1961,1,1,1961,9,16,723,75,18,26,4,25,-3
7956,1964,7,-3,1963,8,2,-2,40,-4,30,-3,15,20
7957,1962,9,7,1957,2,-5,214,-4,6,6,31,-3,14
7958,1959,11,13,1964,10,-5,-1,78,-3,-1,-3,-4,49
7959,1962,2,-3,1960,9,9,820,9,-3,10,13,46,38
7960,1958,6,3,1961,8,22,444,54,12,-2,37,28,-2
7961,1963,6,11,1961,-5,18,728,63,34,41,1,68,16
7962,1960,8,24,1959,6,16,120,44,39,35,25,6,12
7963,1961,5,24,-5,7,1,145,29,42,16,27,16,-3
7964,1957,4,17,1959,10,18,30,2,17,75,8,13,20
7965,1964,5,-2,-5,12,16,-1,-1,48,76,34,9,11
7966,1959,4,5,1957,11,29,196,-1,8,17,5,79,2
7967,1961,10,30,1958,6,16,-2,56,37,41,-2,34,-3
7968,1963,4,-2,1957,-5,16,37,50,-3,73,-3,2,13
7969,1960,9,1,1957,11,8,257,35,18,57,5,29,10
7970,1962,4,2,1963,8,18,-3,62,19,-4,-3,66,34
7971,1961,11,19,1964,9,28,708,49,49,3,-4,-4,-4
7972,1963,12,4,1962,4,7,144,-1,-4,42,44,-3,12
7973,1957,8,-3,1959,7,-5,115,-3,42,25,45,17,32
7974,1964,2,4,-5,11,16,749,78,-3,40,-3,32,-4
7975,1964,12,24,-5,3,14,294,40,13,47,41,6,24
7976,1960,9,11,1960,6,22,119,44,3,64,16,7,3
7977,1957,4,26,-5,10,13,241,40,-3,76,22,31,1
7978,1963,5,5,1959,-5,11,746,37,40,17,37,61,-2
7979,1958,5,-2,1957,8,-5,408,54,20,48,8,39,-2
7980,1964,10,12,-5,3,18,588,-1,-4,24,29,33,-2
7981,1961,3,8,1957,12,1,583,77,49,-3,9,21,-4
7982,1959,8,23,-5,9,28,632,26,22,31,-3,7,18
7983,1961,5,1,1960,4,21,51,-4,20,62,20,-4,-2
7984,1959,5,14,1964,5,13,345,36,35,52,15,64,45
7985,1957,6,1,1959,10,3,689,67,42,40,46,55,38
7986,1963,11,24,-5,12,18,716,69,7,42,46,56,37
7987,1962,9,22,-5,-5,1,108,-3,-3,-3,12,6,32
7988,1961,2,-2,1962,-5,16,-1,14,16,63,37,2,39
7989,1961,10,3,1959,4,8,-1,59,50,20,-4,65,6
7990,1958,6,-3,1960,4,-5,811,20,13,-3,-3,-4,29
7991,1959,10,13,1962,2,-5,526,39,-3,16,43,1,-2
7992,1959,11,30,1958,4,22,549,-1,27,70,18,22,49
7993,1958,10,10,1958,8,-5,679,-4,12,30,23,54,12
7994,1964,5,1,-5,-5,29,56,70,14,34,47,68,34
7995,1960,6,2,1958,11,1,398,62,-4,10,36,47,41
7996,1961,6,10,1964,9,2,564,31,41,79,35,41,48
7997,1958,12,1,1964,6,9,636,75,28,78,48,-4,26
7998,1957,8,14,1958,10,2,726,46,41,53,7,31,-4
7999,1962,6,-3,1961,12,28,314,7,28,53,28,10,10
8000,1964,6,-3,1964,7,8,521,25,22,40,38,6,46
8001,1960,10,30,1961,8,8,580,78,32,44,13,40,-3
8002,1958,11,19,1958,1,28,269,19,18,42,48,37,-4
8003,1963,5,10,1959,6,10,416,55,21,60,35,23,22
8004,1962,6,3,1957,8,11,751,29,13,-4,21,68,2
8005,1960,6,14,1963,7,14,238,43,1,75,-4,1,34
8006,1964,1,-2,1960,-5,16,-2,3,28,20,-4,-4,31
8007,1958,5,9,-5,10,23,718,69,26,71,30,50,32
8008,1959,8,21,1959,12,6,138,72,42,42,39,21,7
8009,1964,7,9,1963,-5,5,279,1,44,31,-3,-3,5
8010,1958,7,17,-5,2,17,237,59,-3,52,11,-2,15
8011,1962,7,26,1963,12,-5,357,64,39,11,31,42,37
8012,1958,3,11,1960,11,28,348,40,41,-2,21,52,3
8013,1961,5,20,-5,3,5,535,-1,46,11,48,77,-2
8014,1957,12,9,1961,8,10,684,14,17,76,10,-4,37
8015,1960,8,-2,1962,1,-5,301,56,36,78,-3,9,46
8016,1960,12,2,-5,1,8,350,57,37,46,8,14,8
8017,1958,2,10,1960,11,12,602,5,46,-4,18,46,11
8018,1961,7,-3,-5,11,20,792,8,29,-4,-4,53,-2
8019,1959,3,15,1962,11,4,837,21,21,17,-4,62,16
8020,1958,2,5,1961,-5,25,-4,13,7,30,46,58,11
8021,1961,9,15,1961,8,17,-4,23,7,48,8,-4,38
8022,1964,12,23,1963,10,7,-2,1,26,44,-3,-3,13
8023,1962,4,13,1960,-5,2,324,61,-4,26,-4,49,40
8024,1957,5,14,1963,6,1,-4,74,5,8,7,54,18
8025,1957,1,-2,1957,8,15,697,62,21,-3,40,3,-4
8026,1964,2,-2,-5,-5,-5,333,-1,22,36,28,67,36
8027,1962,12,31,1957,8,17,91,60,43,37,35,59,41
8028,1959,6,3,1963,-5,17,-2,21,42,46,38,32,19
8029,1960,11,-3,-5,10,28,425,54,-3,-1,14,3,27
8030,1964,6,26,1964,11,15,76,42,36,-2,43,1,37
8031,1962,9,6,1959,7,28,460,-3,19,74,39,42,18
8032,1959,7,6,1957,4,29,662,48,-3,46,25,-3,-4
8033,1961,5,15,-5,10,3,731,-1,25,-2,32,48,21
8034,1958,8,10,1963,-5,7,331,78,-3,-2,14,-4,2
8035,1959,1,22,1958,-5,18,714,45,33,-4,22,73,12
8036,1963,10,15,-5,11,9,262,71,26,-4,33,32,32
8037,1961,1,21,1964,9,18,72,29,26,77,-4,44,34
8038,1960,5,31,1957,8,26,352,19,47,71,6,-3,37
8039,1960,10,-2,1964,8,15,308,44,41,14,5,-4,-3
8040,1961,10,11,1963,9,9,590,32,-4,47,9,70,3
8041,1961,9,3,1961,1,29,169,31,39,67,11,79,-4
8042,1957,5,14,1961,12,-5,175,60,49,19,-3,56,45
8043,1962,4,12,1959,9,22,361,47,16,59,29,70,-2
8044,1962,2,3,1957,-5,11,-1,1,11,53,22,46,43
8045,1960,8,29,1958,-5,22,19,28,33,58,30,35,1
8046,1960,5,23,1963,2,21,-3,23,40,70,-4,5,11
8047,1959,12,3,1960,-5,-5,635,70,34,-1,43,5,-2
8048,1957,8,23,1959,5,9,-1,29,-3,33,5,6,9
8049,1961,1,-2,1959,2,14,669,42,19,-4,2,-4,-2
8050,1963,3,-3,1958,10,13,607,35,-3,75,12,49,-2
8051,1964,6,-2,1957,11,12,117,26,-4,56,-2,38,2
8052,1962,10,19,1964,5,25,-2,27,7,50,26,13,1
8053,1964,11,5,-5,9,26,685,58,13,1,47,57,47
8054,1957,11,11,-5,4,2,-3,65,46,30,35,26,28
8055,1959,8,27,1958,6,27,794,10,-3,43,8,12,41
8056,1964,5,5,1961,4,8,360,76,46,49,44,39,44
8057,1963,6,20,1959,4,29,77,32,27,60,17,-2,39
8058,1959,3,13,1964,-5,10,319,13,27,23,18,70,39
8059,1960,12,23,1964,-5,26,310,72,32,78,-4,52,17
8060,1959,12,1,1964,12,29,-2,41,45,8,-4,-3,10
8061,1964,3,18,1958,1,-5,396,23,-4,11,9,62,-3
8062,1963,1,14,1960,2,29,463,51,-4,30,17,1,50
8063,1962,9,5,1960,11,-5,207,-1,36,40,45,51,18
8064,1964,9,4,-5,-5,-5,747,29,36,7,26,3,33
8065,1957,7,21,1958,-5,18,27,15,38,33,-2,76,14
8066,1957,3,2,1963,9,-5,687,71,34,-1,32,21,20
8067,1961,12,-3,1961,6,19,376,56,25,60,49,-3,21
8068,1962,3,-2,1957,2,12,23,76,2,-2,39,56,47
8069,1963,1,-3,1959,1,27,636,45,28,-4,43,-2,41
8070,1963,7,19,1961,-5,-5,309,-4,49,68,22,45,46
8071,1964,2,-2,1959,1,31,296,-1,-4,61,21,12,46
8072,1962,1,-2,1961,5,5,3,49,42,-3,47,3,45
8073,1960,12,14,1962,9,5,370,9,2,27,17,-2,13
8074,1961,1,5,1961,9,-5,710,28,-4,54,-3,-3,14
8075,1961,5,-3,1957,-5,23,409,33,41,-1,22,12,11
8076,1961,1,4,1958,11,8,197,29,20,46,34,33,37
8077,1963,5,24,1961,11,5,284,-4,34,57,13,-3,22
8078,1957,7,27,1960,-5,31,282,30,45,47,24,19,48
8079,1964,4,13,1962,4,-5,-4,-1,8,-2,26,50,43
8080,1957,4,11,-5,12,31,102,39,39,19,-3,69,-2
8081,1959,1,2,1959,1,25,-3,47,12,-4,26,51,18
8082,1957,11,1,1958,-5,2,776,15,29,73,-4,72,30
8083,1963,7,20,1960,1,-5,-2,57,6,44,37,75,39
8084,1963,1,10,1961,2,24,-4,43,31,33,35,35,-2
8085,1957,4,6,-5,3,-5,243,4,19,62,45,22,7
8086,1959,8,5,1964,8,-5,476,47,29,-2,48,8,32
8087,1962,11,-2,1957,11,13,613,33,16,52,28,47,45
8088,1959,12,3,-5,9,15,112,53,-4,21,12,-2,-3
8089,1957,11,-3,1959,9,28,127,19,4,78,17,7,10
8090,1962,3,29,1961,10,20,368,78,45,8,37,35,28
8091,1959,1,20,1958,8,22,728,66,41,25,-4,15,16
8092,1962,11,27,1957,1,12,475,47,36,-3,39,43,19
8093,1961,11,4,1961,6,12,627,6,42,64,25,12,38
8094,1963,9,25,-5,4,13,386,23,27,43,-4,63,22
8095,1959,3,9,1957,4,28,67,75,2,-4,27,-2,-2
8096,1963,8,24,-5,-5,20,-2,-1,7,77,8,-3,37
8097,1964,7,5,1961,4,24,278,42,-4,54,-4,-2,28
8098,1964,4,5,-5,12,2,-2,2,-3,72,11,68,-3
8099,1960,7,24,1960,-5,22,637,10,3,3,7,5,28
8100,1962,4,8,1957,8,-5,498,10,2,-3,31,17,34
8101,1962,12,-3,1963,7,17,458,8,39,46,-3,79,21
8102,1958,2,7,1957,5,30,786,11,18,73,35,-2,40
8103,1962,11,25,1957,-5,23,316,78,35,76,38,22,-3
8104,1963,8,12,1964,8,18,-1,33,32,72,10,-4,5
8105,1960,3,22,-5,9,30,814,47,39,4,25,61,45
8106,1959,6,6,1959,10,-5,-3,38,-3,35,34,43,10
8107,1962,5,28,1959,-5,-5,764,65,41,24,45,-3,45
8108,1964,8,3,-5,5,-5,263,51,9,56,-3,8,45
8109,1958,1,27,1964,-5,-5,-3,11,15,44,30,68,-4
8110,1960,4,-3,1959,-5,22,560,-2,-3,-4,47,58,8
8111,1963,4,5,1959,4,7,7,23,3,15,26,-3,38
8112,1959,8,8,-5,-5,27,157,7,41,29,46,43,-4
8113,1961,11,21,1963,12,28,813,44,33,33,45,27,25
8114,1960,10,31,1960,5,-5,211,49,16,77,-2,28,14
8115,1957,6,29,1961,-5,24,766,53,39,4,46,8,31
8116,1963,11,17,1964,1,22,119,55,16,-4,47,10,27
8117,1958,7,25,1961,11,17,799,70,38,37,11,23,4
8118,1960,9,15,1959,5,30,742,47,25,-1,17,13,35
8119,1963,12,10,1957,7,11,812,72,-3,18,-2,6,6
8120,1959,2,-3,1961,12,23,355,-1,39,59,50,52,14
8121,1961,7,26,1963,5,8,-3,10,26,14,49,48,29
8122,1962,3,10,1958,7,31,-2,25,-3,50,6,8,33
8123,1960,1,3,-5,9,2,489,71,39,28,-4,-4,44
8124,1962,1,27,1959,11,-5,704,7,27,2,5,-4,36
8125,1962,5,25,1959,11,17,125,77,16,6,-4,22,23
8126,1961,3,-2,-5,-5,-5,103,-3,20,40,26,-2,2
8127,1963,6,21,1957,7,25,-1,27,-4,44,-4,13,5
8128,1964,10,12,1959,10,25,526,40,15,11,1,77,10
8129,1959,2,3,1964,-5,26,59,4,13,29,34,-4,25
8130,1959,10,18,1963,-5,11,-4,-3,29,63,-4,73,23
8131,1957,8,28,-5,10,13,-1,64,43,13,7,46,30
8132,1957,11,6,1962,-5,28,1,40,34,16,27,8,16
8133,1963,10,11,-5,-5,26,-4,77,31,59,-2,77,14
8134,1958,10,19,1962,8,28,766,72,-3,56,19,45,5
8135,1961,4,3,1959,7,-5,620,24,18,-4,4,57,44
8136,1959,6,18,-5,8,-5,585,-2,23,29,11,29,27
8137,1960,8,21,1961,2,27,-1,42,10,57,8,38,33
8138,1959,4,-2,1959,5,3,685,46,33,-3,4,33,47
8139,1961,10,-2,1963,-5,13,490,63,32,68,-4,10,-2
8140,1960,8,22,1957,7,25,700,30,-3,34,16,-2,46
8141,1959,6,-3,1964,1,20,456,-2,48,-1,5,65,25
8142,1961,4,-2,1962,8,-5,630,52,5,22,18,-2,50
8143,1961,3,-3,1963,-5,-5,290,25,45,-1,9,9,22
8144,1959,11,18,1957,2,-5,-1,21,8,77,7,62,-3
8145,1958,4,22,1963,-5,27,433,8,24,74,-2,65,10
8146,1964,2,8,1959,5,14,78,42,21,-1,50,58,-4
8147,1957,12,13,1964,4,-5,-2,20,-4,27,10,65,10
8148,1963,10,28,1963,4,17,94,13,5,36,13,17,34
8149,1964,3,28,1961,10,-5,331,6,-3,18,49,-4,-2
8150,1957,1,5,1959,3,2,86,49,22,43,19,30,30
8151,1959,9,-2,-5,2,26,415,-4,23,34,3,66,13
8152,1961,12,1,1958,1,-5,660,24,21,70,47,26,35
8153,1957,11,8,-5,-5,16,359,28,2,65,31,65,-2
8154,1958,7,16,1958,10,24,151,-4,45,64,28,21,26
8155,1962,11,18,1962,9,3,328,-4,43,67,48,22,37
8156,1958,1,23,1958,-5,4,-1,-4,20,71,43,34,13
8157,1962,2,24,1961,10,8,-1,70,-3,47,10,-2,47
8158,1963,10,25,1959,11,5,-4,44,-3,56,9,3,45
8159,1963,7,9,-5,5,-5,119,65,37,-4,40,48,17
8160,1961,8,19,1964,7,-5,598,9,7,56,-2,54,34
8161,1957,4,-3,1964,-5,4,301,7,7,29,8,12,24
8162,1962,11,27,1963,10,22,706,37,28,68,4,37,9
8163,1964,3,22,-5,5,9,-1,70,24,25,24,59,6
8164,1958,7,-2,1958,8,7,522,70,-3,39,46,20,19
8165,1959,5,6,1963,3,4,776,41,3,-3,-3,-2,38
8166,1962,1,6,1960,6,2,723,4,-4,47,10,63,1
8167,1957,9,-2,-5,9,26,-1,70,33,60,26,18,-3
8168,1961,7,23,1960,6,11,-1,37,6,73,32,19,-4
8169,1958,11,16,1964,7,-5,690,43,-3,77,44,2,-4
8170,1964,2,-2,1963,12,10,144,71,-3,50,-4,-3,27
8171,1959,3,-2,1963,-5,9,494,37,-3,59,3,74,32
8172,1962,6,24,1957,7,7,-1,71,45,-3,19,9,50
8173,1961,4,14,1960,7,3,337,15,25,67,29,64,20
8174,1959,12,16,-5,6,2,682,53,-4,4,32,11,50
8175,1961,2,20,1964,7,2,709,72,-4,73,-2,-3,18
8176,1959,5,-2,1959,10,31,342,4,22,31,9,53,49
8177,1961,5,18,1962,8,8,473,27,6,-2,14,66,11
8178,1960,12,-2,1957,10,27,487,-3,22,36,-4,67,24
8179,1963,12,26,1958,-5,25,500,28,16,8,-2,72,-2
8180,1958,4,6,1957,4,-5,680,38,-4,6,44,72,35
8181,1959,8,29,1957,2,7,-3,-1,-3,55,13,22,14
8182,1958,6,-2,1964,10,11,140,77,30,4,43,17,33
8183,1957,5,4,1959,9,-5,552,-4,42,3,45,36,33
8184,1959,7,19,-5,9,17,276,54,38,26,-2,58,9
8185,1959,5,23,-5,-5,8,122,-3,22,-3,-4,76,4
8186,1964,10,8,1958,-5,5,651,37,22,41,16,48,-3
8187,1962,9,-2,1958,10,18,586,3,-4,72,20,-4,-4
8188,1961,12,3,1962,12,19,251,21,33,-1,-4,11,31
8189,1963,11,20,1963,2,13,317,40,8,-4,42,32,3
8190,1962,10,25,1961,8,11,584,69,17,-3,48,50,41
8191,1957,3,10,-5,12,24,67,45,39,71,-4,12,17
8192,1964,9,-2,1957,9,6,707,58,21,66,45,29,35
8193,1959,7,12,1960,10,18,776,73,22,79,48,22,43
8194,1960,11,13,1964,10,18,407,-2,-3,63,27,-4,34
8195,1958,12,20,1962,-5,19,-2,33,42,7,37,-2,-4
8196,1959,9,11,1963,8,14,527,19,8,7,14,66,-3
8197,1958,1,19,1960,9,28,346,3,-3,74,3,47,19
8198,1964,6,14,-5,7,24,728,5,10,48,47,29,-4
8199,1959,10,29,1957,12,8,160,66,39,25,-4,61,17
8200,1960,5,-2,1960,1,21,298,9,5,6,33,-3,25
8201,1962,8,31,1958,-5,-5,-2,17,2,24,6,43,24
8202,1964,1,-2,1957,7,25,835,29,-3,2,22,50,45
8203,1958,6,28,1963,7,28,98,28,33,43,50,15,2
8204,1958,8,2,1960,9,5,-2,12,16,9,46,15,-3
8205,1958,11,29,1964,9,5,713,32,-3,62,39,58,33
8206,1962,11,10,-5,-5,16,332,-1,8,-3,21,68,49
8207,1960,8,22,1959,-5,4,671,79,18,10,-2,-2,21
8208,1963,4,11,1962,4,15,129,20,15,-4,-2,-3,11
8209,1961,2,-2,1962,3,13,-4,48,41,52,-4,11,24
8210,1964,2,24,1959,-5,25,208,25,36,-3,39,-4,44
8211,1959,9,9,1959,6,17,777,42,-3,75,14,51,28
8212,1964,11,1,1961,7,26,721,79,41,24,20,9,29
8213,1962,5,22,-5,-5,20,583,41,25,39,43,48,34
8214,1959,9,-2,1958,9,24,65,10,38,29,7,28,45
8215,1959,8,4,-5,8,27,378,58,43,-1,11,41,-4
8216,1959,11,13,1963,7,24,-1,14,46,23,-2,55,44
8217,1958,5,-3,1960,-5,2,221,-3,17,-2,-2,1,1
8218,1961,2,26,1960,9,24,-2,79,31,52,8,67,14
8219,1959,7,6,1959,3,-5,256,10,26,-3,25,-2,-4
8220,1964,8,16,1958,11,19,352,37,9,-3,11,64,41
8221,1960,9,22,1964,10,-5,159,-4,38,-3,9,55,27
8222,1961,12,31,1959,-5,15,185,-4,13,37,7,56,28
8223,1957,7,26,1962,5,-5,672,25,22,-3,10,-2,37
8224,1963,9,-2,1959,4,27,100,72,48,41,40,74,6
8225,1964,6,10,1963,3,12,668,-3,37,-4,37,50,38
8226,1958,11,-3,-5,4,11,482,67,9,16,1,1,16
8227,1960,12,20,1964,-5,14,298,50,-3,-1,15,24,-4
8228,1957,8,15,-5,1,15,-4,59,14,5,24,5,19
8229,1960,12,16,1962,-5,4,758,49,50,41,-4,26,14
8230,1958,4,5,1962,-5,23,643,9,-3,33,5,62,39
8231,1962,10,27,1962,-5,8,304,37,-4,67,36,-3,47
8232,1961,10,29,1959,1,9,638,31,15,70,6,36,12
8233,1961,10,-2,1960,3,29,56,64,47,61,39,45,5
8234,1961,12,-3,1959,9,8,-4,79,16,62,19,70,16
8235,1960,5,30,1961,3,28,-4,77,41,41,41,33,7
8236,1964,12,19,1961,6,30,597,47,13,-4,50,53,22
8237,1963,10,25,1962,-5,-5,586,38,36,-1,1,2,10
8238,1960,5,12,1958,7,3,807,-4,44,46,11,10,-4
8239,1963,1,-2,1958,11,-5,-1,43,5,-1,47,20,11
8240,1958,11,-3,1964,6,29,627,-4,44,-3,30,16,15
8241,1957,3,-3,1959,1,8,550,35,19,53,38,4,30
8242,1960,2,24,-5,2,20,400,25,-3,60,32,71,33
8243,1957,11,14,1962,-5,17,-2,8,33,55,-3,6,-2
8244,1963,12,-2,1961,9,20,759,30,42,63,43,49,5
8245,1961,11,12,1958,-5,28,228,30,2,-1,20,59,17
8246,1963,10,25,1960,-5,31,-3,-2,28,16,29,27,35
8247,1963,4,-2,1958,5,3,114,29,-4,69,24,9,-4
8248,1963,11,22,1958,5,-5,307,70,-4,-1,-3,38,9
8249,1961,3,18,1958,3,17,621,-1,49,35,44,4,40
8250,1963,5,4,1959,12,1,287,-4,-4,76,-3,30,-4
8251,1958,1,15,1959,7,-5,817,-2,7,-1,8,72,32
8252,1964,8,7,1963,7,19,81,2,37,57,29,62,24
8253,1963,3,30,-5,-5,21,565,35,36,30,35,47,19
8254,1963,2,1,1962,1,-5,532,5,30,33,2,3,12
8255,1957,11,25,-5,10,7,612,12,45,10,-3,47,25
8256,1958,12,25,1957,4,6,-4,58,5,22,-2,14,27
8257,1962,5,30,1964,4,27,739,-4,33,49,15,29,18
8258,1957,7,28,-5,12,21,-2,73,49,-4,44,17,18
8259,1964,5,18,1959,12,2,446,25,15,16,-2,-3,41
8260,1959,9,13,1963,11,1,-4,38,29,-4,10,-2,49
8261,1963,3,4,1962,12,4,622,72,-3,-3,45,63,-3
